Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""030726999X""","=""9780307269997""",5,4.22,Knopf,Hardcover,566,2010,2007,2018/05/13,2018/04/11,"owned, woblink, 2018","owned (#147), woblink (#111), 2018 (#45)",read,,,,1,,,0,,,,,
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",4,4.27,IT Revolution Press,Hardcover,345,2013,2013,2018/05/24,2018/03/19,"software-testing, amazon, owned, 2018","software-testing (#7), amazon (#9), owned (#142), 2018 (#42)",read,"I think I have too little experience in IT to be able to appreciate this book fully, because I already started in a company with CI. Still, it’s nice to confirm in reading that what you feel about constant and fast feedback as ground for improvement (in every aspect of life, tbh) is accurate. ",,,1,,,0,,,,,
25455745,De underkända (Sebastian Bergman #5),Michael Hjorth,"Hjorth, Michael",Hans Rosenfeldt,"=""""","=""9789113066776""",5,4.16,Norstedts,Hardcover,403,2015,2015,2018/03/15,2018/03/06,"woblink, owned, 2018","woblink (#28), owned (#47), 2018 (#39)",read,,,,1,,,0,,,,,
38469411,"Testament (Chyłka i Zordon, #7)",Remigiusz Mróz,"Mróz, Remigiusz",,"=""8379768779""","=""9788379768776""",3,3.68,Czwarta Strona,Paperback,536,2018,2018,2018/03/18,2018/03/09,"woblink, owned, 2018","woblink (#49), owned (#68), 2018 (#40)",read,,,,1,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",5,4.46,Doubleday Canada,Hardcover,289,2016,2016,2018/04/02,2018/03/11,"owned, virtualo, 2018","owned (#137), virtualo (#3), 2018 (#41)",read,,,,1,,,0,,,,,
7232473,Prowadź swój pług przez kości umarłych,Olga Tokarczuk,"Tokarczuk, Olga",,"=""""","=""""",2,3.96,Wydawnictwo Literackie,Paperback,320,2009,2009,2018/03/27,2018/02/13,"woblink, 2018","woblink (#4), 2018 (#36)",read,,,,1,,,0,,,,,
38460124,Z nienawiści do kobiet,Justyna Kopińska,"Kopińska, Justyna",,"=""8380318536""","=""9788380318533""",5,3.70,Świat Książki,Paperback,224,2018,2018,2018/03/10,2018/02/10,"owned, publio, polska-mieszkam-w-polsce, 2018","owned (#67), publio (#5), polska-mieszkam-w-polsce (#6), 2018 (#35)",read,Najlepszy jest wywiad z autorka na koncu o jej warsztacie. Takich dziennikarzy nam trzeba.,,,1,,,0,,,,,
35995780,Życie zero waste. Żyj bez śmieci i żyj lepiej,Katarzyna Wągrowska,"Wągrowska, Katarzyna",,"=""""","=""""",4,3.38,Znak,Paperback,324,2017,,2018/09/09,2018/02/13,"woblink, owned, 2018","woblink (#10), owned (#168), 2018 (#37)",read,,,,1,,,0,,,,,
22550647,Den stumma flickan (Sebastian Bergman #4),Michael Hjorth,"Hjorth, Michael",Hans Rosenfeldt,"=""9113055968""","=""9789113055961""",4,4.10,Norstedts,Hardcover,450,2014,2014,2018/03/07,2018/02/22,"owned, woblink, 2018","owned (#42), woblink (#26), 2018 (#38)",read,,,,1,,,0,,,,,
1991039,"Flaggermusmannen (Harry Hole, #1)",Jo Nesbø,"Nesbø, Jo",,"=""8203180728""","=""9788203180729""",2,3.55,Aschehoug,Paperback,339,2005,1997,2018/04/18,2018/01/29,"polecajki-z-fejsa, owned, woblink, 2018","polecajki-z-fejsa (#11), owned (#143), woblink (#109), 2018 (#32)",read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.40,Vintage,Paperback,512,2015,2011,2018/08/13,2018/01/30,"woblink, owned, 2018","woblink (#113), owned (#161), 2018 (#33)",read,,,,1,,,0,,,,,
16142290,Fjällgraven  (Sebastian Bergman #3),Michael Hjorth,"Hjorth, Michael",Hans Rosenfeldt,"=""9113044168""","=""9789113044163""",4,3.83,Norstedts,Hardback,425,2012,2012,2018/02/22,2018/02/01,"owned, woblink, 2018","owned (#125), woblink (#107), 2018 (#34)",read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",5,4.14,Knopf,Hardcover,465,2008,2005,2018/03/31,2018/01/29,"polecajki-z-fejsa, owned, virtualo, 2018","polecajki-z-fejsa (#2), owned (#140), virtualo (#4), 2018 (#31)",read,,,,1,,,0,,,,,
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",3,4.08,W. W. Norton  Company,Hardcover,208,2017,2017,2018/03/24,2018/01/11,2018,2018 (#28),read,,,,1,,,0,,,,,
13399107,Lärjungen  (Sebastian Bergman #2),Michael Hjorth,"Hjorth, Michael",Hans Rosenfeldt,"=""9113033980""","=""9789113033983""",5,4.14,Norstedts,Hardcover,494,2011,2011,2018/02/01,2018/01/23,"woblink, owned, 2018","woblink (#2), owned (#20), 2018 (#30)",read,,,,1,,,0,,,,,
25707101,Slow fashion. Modowa rewolucja,Joanna Glogaza,"Glogaza, Joanna",,"=""8324027459""","=""9788324027453""",3,3.44,Społeczny Instytut Wydawniczy Znak,Paperback,216,2015,2015,2018/01/19,2018/01/15,"woblink, owned, 2018","woblink (#23), owned (#19), 2018 (#29)",read,,,,1,,,0,,,,,
36318073,Labirynty Scruma,Jacek Wieczorek,"Wieczorek, Jacek",,"=""""","=""9788394889906""",4,3.95,,Paperback,236,2017,,2018/05/16,2018/01/11,"owned, papier, 2018","owned (#40), papier (#3), 2018 (#27)",read,,,,1,,,0,,,,,
35904152,A Practical Guide to Testing in DevOps,Katrina Clokie,"Clokie, Katrina",,"=""""","=""""",5,4.10,LeanPub,ebook,167,2017,,2018/01/12,2017/10/19,"software-testing, leanpub, owned, 2018","software-testing (#2), leanpub (#1), owned (#15), 2018 (#24)",read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.19,Grand Central Publishing,Hardcover,296,2016,2016,2018/02/16,2017/11/13,2018,2018 (#25),read,,,,1,,,0,,,,,
12256385,"Cross Stitch (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""""","=""""",4,4.23,Cornerstone Digital,Kindle Edition,864,2011,1991,2018/01/18,2017/11/23,"guilty-pleasures, amazon, owned, 2018","guilty-pleasures (#4), amazon (#3), owned (#18), 2018 (#26)",read,,,,1,,,0,,,,,
36278842,Włam się do mózgu,Radosław Kotarski,"Kotarski, Radosław",,"=""""","=""9788394871208""",4,4.38,Altenberg,Paperback,300,2017,2017,2018/03/03,2017/10/08,"owned, 2018","owned (#39), 2018 (#23)",read,,,,1,,,0,,,,,
11813728,"Ciemne sekrety (Sebastian Bergman, #1)",Michael Hjorth,"Hjorth, Michael","Hans Rosenfeldt, Alicja Rosenau","=""8375542911""","=""9788375542912""",3,4.01,Czarna Owca,Paperback,488,2011,2010,2018/01/23,2017/08/15,"woblink, owned, 2018","woblink (#1), owned (#1), 2018 (#10)",read,,,,1,,,1,,,unspecified,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",3,4.21,Gallery Books,Paperback,288,1998,1936,2018/03/26,2017/08/15,"amazon, owned, 2018","amazon (#7), owned (#46), 2018 (#11)",read,,,,1,,,0,,,,,
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",5,4.19,Broadway Books,Paperback,544,2004,2003,2018/03/08,2017/08/15,"owned, woblink, 2018","owned (#44), woblink (#27), 2018 (#22)",read,,,,1,,,0,,,,,
26944749,Miasta śmierci. Sąsiedzkie pogromy Żydów,Mirosław Tryczyk,"Tryczyk, Mirosław",,"=""8377730863""","=""9788377730867""",4,3.96,Wydawnictwo RM,Paperback,460,2015,2015,2018/08/19,2017/08/15,"owned, woblink, polska-mieszkam-w-polsce, 2018","owned (#141), woblink (#108), polska-mieszkam-w-polsce (#15), 2018 (#9)",read,,,,1,,,0,,,,,
39682603,Non/fiction. Numer 3: Praca,Karolina Bednarz,"Bednarz, Karolina",Dorota Groyecka,"=""""","=""""",4,4.42,Fundacja Non/fiction,Paperback,148,2018,2018,2018/10/20,2018/10/14,2018,2018 (#19),read,,,,1,,,0,,,,,
39674332,It Doesn't Have to Be Crazy at Work,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""""","=""""",4,4.06,HarperBusiness,Kindle Edition,227,2018,2018,2018/10/10,2018/10/06,"amazon, owned, 2018","amazon (#13), owned (#175), 2018 (#18)",read,,,,1,,,0,,,,,
40234260,Przecież ich nie zostawię. O żydowskich opiekunkach w czasie wojny,Magdalena Kicińska,"Kicińska, Magdalena","Monika Sznajderman, Beata Chomątowska, Sylwia Chutnik, Patrycja Dołowy, Karolina Przewrocka-Aderet, Karolina Sulej, Agnieszka Witkowska-Krych, Hanna Krall","=""8380496795""","=""9788380496798""",3,3.82,Czarne,Hardcover,216,2018,2018,2018/09/20,2018/09/02,"woblink, owned, 2018","woblink (#115), owned (#169), 2018 (#17)",read,,,,1,,,0,,,,,
16146731,Trafny wybór,J.K. Rowling,"Rowling, J.K.",Anna Gralak,"=""8324021469""","=""9788324021468""",4,3.30,Znak,Paperback,505,2012,2012,2018/11/04,2018/03/10,"owned, woblink, 2018","owned (#89), woblink (#70), 2018 (#13)",read,,,,1,,,0,,,,,
12961964,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5,4.12,Houghton Mifflin Harcourt,Kindle Edition,325,1986,1985,2018/11/11,2017/08/15,2018,2018 (#12),read,,,,1,,,0,,,,,
34876358,Wzgórze psów,Jakub Żulczyk,"Żulczyk, Jakub",,"=""838031350X""","=""9788380313507""",3,3.83,Świat Książki,Hardcover,864,2017,2017,2018/10/16,2018/05/18,"owned, publio, 2018","owned (#151), publio (#8), 2018 (#14)",read,,,,1,,,0,,,,,
10284614,The Clean Coder: A Code of Conduct for Professional Programmers,Robert C. Martin,"Martin, Robert C.",,"=""0137081073""","=""9780137081073""",5,4.28,Prentice Hall,Paperback,210,2011,2011,2018/11/18,2018/03/13,"software-development-growth, ebookpoint, owned, 2018","software-development-growth (#4), ebookpoint (#6), owned (#179), 2018 (#8)",read,Every junior developer should get this book. ,,,1,,,0,,,,,
22586917,Growing Rails Applications in Practice,Henning  Koch,"Koch, Henning",Thomas Eisenbarth,"=""""","=""""",5,3.81,Leanpub,ebook,88,2014,2014,2018/11/20,2018/10/22,2018,2018 (#7),read,,,,1,,,0,,,,,
42206055,Pokochaj poniedziałki. Jak poradzić sobie z wypaleniem zawodowym,Joanna Karpeta,"Karpeta, Joanna",,"=""""","=""9788374897587""",4,3.29,GWP Gdańskie Wydawnictwo Psychologiczne,Paperback,280,2018,,2018/12/03,2018/10/07,"publio, owned, 2018","publio (#14), owned (#183), 2018 (#6)",read,,,,1,,,0,,,,,
41279221,"Kontratyp (Chyłka i Zordon, #8)",Remigiusz Mróz,"Mróz, Remigiusz",,"=""8379760298""","=""9788379760299""",3,3.71,Czwarta Strona,Paperback,531,2018,2018,2018/12/19,2018/12/06,"woblink, owned, 2018","woblink (#120), owned (#185), 2018 (#4)",read,"Moje ulubione prawnicze guilty pleasure <3 <br/>To nic, ze bedzie sie zle starzec przez odniesienia do aktualnych wydarzen, i tak czyta sie jak dobry fanfik. Idealna lektura do samolotu :)",,,1,,,0,,,,,
32327872,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living: Featuring new translations of Seneca, Epictetus, and Marcus Aurelius",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""""","=""""",3,4.22,Profile Books,Kindle Edition,418,2016,2016,2018/12/24,2017/12/31,"amazon, owned, 2018","amazon (#5), owned (#43), 2018 (#3)",read,,,,1,,,0,,,,,
